No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,,Delta Diff1,Delta Diff2,Delta Diff3,Delta Diff4,Delta Diff5,Delta Diff6,,,Guess1,Guess2,Guess3,Guess4,Guess5,Guess6,Sum,Check1,Check2,Check3,Check4,Check5,Check6
1850, Sat,14,Sep,2013,18,20,24,30,39,48,46,,18,2,4,6,9,9,,11,-15,1,2,0,8,,,3,7,2,8,16,12,48,3,10,9,10,24,28
1849, Wed,11,Sep,2013,7,24,27,31,40,41,33,,7,17,3,4,9,1,,6,7,2,3,-13,-6,,,1,2,4,9,13,12,41,1,3,6,13,22,25
1848, Sat,7,Sep,2013,1,11,12,13,35,42,5,,1,10,1,1,22,7,,-5,9,0,-4,11,3,,,1,1,3,8,13,8,34,1,2,4,11,21,21
1847, Wed,4,Sep,2013,6,7,8,13,24,28,18,,6,1,1,5,11,4,,2,-9,0,3,7,-6,,,3,1,5,9,15,8,41,3,4,6,14,24,23
1846, Sat,31,Aug,2013,4,14,15,17,21,31,48,,4,10,1,2,4,10,,3,6,-11,0,-14,0,,,2,5,8,9,14,10,48,2,7,13,17,23,24
1845, Wed,28,Aug,2013,1,5,17,19,37,47,11,,1,4,12,2,18,10,,-4,-11,6,-12,16,4,,,4,2,2,8,12,16,44,4,6,4,10,20,28
1844, Sat,24,Aug,2013,5,20,26,40,42,48,1,,5,15,6,14,2,6,,2,14,-17,12,-16,4,,,2,2,7,9,14,10,44,2,4,9,16,23,24
1843, Wed,21,Aug,2013,3,4,27,29,47,49,23,,3,1,23,2,18,2,,-12,-9,22,-5,17,-5,,,1,6,2,8,15,11,43,1,7,8,10,23,26
1842, Sat,17,Aug,2013,15,25,26,33,34,41,43,,15,10,1,7,1,7,,3,4,-19,6,-5,3,,,3,3,4,9,15,14,48,3,6,7,13,24,29
1841, Wed,14,Aug,2013,12,18,38,39,45,49,19,,12,6,20,1,6,4,,-2,5,18,-8,-3,-7,,,1,8,6,7,14,13,49,1,9,14,13,21,27
1840, Sat,10,Aug,2013,14,15,17,26,35,46,18,,14,1,2,9,9,11,,11,-12,-2,3,7,-4,,,5,6,4,9,11,14,49,5,11,10,13,20,25
1839, Wed,7,Aug,2013,3,16,20,26,28,43,15,,3,13,4,6,2,15,,0,11,0,2,-2,-5,,,3,3,4,9,13,8,40,3,6,7,13,22,21
1838, Sat,3,Aug,2013,3,5,9,13,17,37,15,,3,2,4,4,4,20,,-7,-4,-13,-1,2,16,,,4,3,2,9,16,9,43,4,7,5,11,25,25
1837, Wed,31,Jul,2013,10,16,33,38,40,44,32,,10,6,17,5,2,4,,-2,5,12,-16,-2,-2,,,4,3,7,7,12,12,45,4,7,10,14,19,24
1836, Sat,27,Jul,2013,12,13,18,39,43,49,37,,12,1,5,21,4,6,,-10,-3,1,11,2,1,,,1,5,2,7,12,8,35,1,6,7,9,19,20
1835, Wed,24,Jul,2013,22,26,30,40,42,47,4,,22,4,4,10,2,5,,21,2,-10,8,-18,2,,,3,3,7,7,16,15,51,3,6,10,14,23,31
1834, Sat,20,Jul,2013,1,3,17,19,39,42,31,,1,2,14,2,20,3,,-5,-16,5,-3,16,2,,,5,7,4,9,12,11,48,5,12,11,13,21,23
1833, Wed,17,Jul,2013,6,24,33,38,42,43,11,,6,18,9,5,4,1,,-6,15,0,-7,-5,-3,,,4,8,1,7,16,14,50,4,12,9,8,23,30
1832, Sat,13,Jul,2013,12,15,24,36,45,49,32,,12,3,9,12,9,4,,9,-3,8,6,5,2,,,5,1,2,8,16,11,43,5,6,3,10,24,27
1831, Wed,10,Jul,2013,3,9,10,16,20,22,35,,3,6,1,6,4,2,,-13,-2,-2,-6,-2,-2,,,3,1,6,7,8,16,41,3,4,7,13,15,24
1830, Sat,6,Jul,2013,16,24,27,39,45,49,44,,16,8,3,12,6,4,,1,-4,-1,3,5,-4,,,4,8,6,8,8,9,43,4,12,14,14,16,17
1829, Wed,3,Jul,2013,15,27,31,40,41,49,1,,15,12,4,9,1,8,,8,6,-8,3,-2,-3,,,5,5,1,7,8,8,34,5,10,6,8,15,16
1828, Sat,29,Jun,2013,7,13,25,31,34,45,4,,7,6,12,6,3,11,,-1,3,-6,1,-3,10,,,5,4,7,9,8,15,48,5,9,11,16,17,23
1827, Wed,26,Jun,2013,8,11,29,34,40,41,35,,8,3,18,5,6,1,,0,-13,16,3,-2,-6,,,5,8,7,7,10,16,53,5,13,15,14,17,26
1826, Sat,22,Jun,2013,8,24,26,28,36,43,34,,8,16,2,2,8,7,,2,13,-2,-20,7,-4,,,3,6,6,8,12,16,51,3,9,12,14,20,28
1825, Wed,19,Jun,2013,6,9,13,35,36,47,31,,6,3,4,22,1,11,,3,2,-8,18,-12,0,,,5,5,2,9,16,12,49,5,10,7,11,25,28
1824, Sat,15,Jun,2013,3,4,16,20,33,44,27,,3,1,12,4,13,11,,1,-4,9,-1,11,0,,,5,2,6,9,11,16,49,5,7,8,15,20,27
1823, Wed,12,Jun,2013,2,7,10,15,17,28,24,,2,5,3,5,2,11,,-6,4,-1,1,-22,9,,,4,7,6,9,8,16,50,4,11,13,15,17,24
1822, Sat,8,Jun,2013,8,9,13,17,41,43,14,,8,1,4,4,24,2,,-2,-7,-13,1,21,0,,,4,4,5,8,15,8,44,4,8,9,13,23,23
1821, Wed,5,Jun,2013,10,18,35,38,41,43,21,,10,8,17,3,3,2,,-1,6,6,-5,1,-11,,,4,8,3,7,14,8,44,4,12,11,10,21,22
1820, Sat,1,Jun,2013,11,13,24,32,34,47,9,,11,2,11,8,2,13,,8,0,-9,0,1,12,,,4,6,5,7,14,15,51,4,10,11,12,21,29
1819, Wed,29,May,2013,3,5,25,33,34,35,14,,3,2,20,8,1,1,,-2,1,0,4,-2,-6,,,3,1,5,7,13,11,40,3,4,6,12,20,24
1818, Sat,25,May,2013,5,6,26,30,33,40,43,,5,1,20,4,3,7,,-5,-12,8,0,-3,6,,,1,7,3,9,12,10,42,1,8,10,12,21,22
1817, Wed,22,May,2013,10,23,35,39,45,46,1,,10,13,12,4,6,1,,7,11,-7,-3,-11,0,,,4,8,2,9,10,11,44,4,12,10,11,19,21
1816, Sat,18,May,2013,3,5,24,31,48,49,15,,3,2,19,7,17,1,,-1,1,18,-7,7,-4,,,1,8,5,9,11,10,44,1,9,13,14,20,21
1815, Wed,15,May,2013,4,5,6,20,30,35,34,,4,1,1,14,10,5,,-5,-2,-11,13,9,-12,,,3,6,6,7,8,13,43,3,9,12,13,15,21
1814, Sat,11,May,2013,9,12,24,25,26,43,3,,9,3,12,1,1,17,,-3,0,7,-10,-1,10,,,1,5,6,9,12,11,44,1,6,11,15,21,23
1813, Wed,8,May,2013,12,15,20,31,33,40,38,,12,3,5,11,2,7,,1,2,-5,6,-11,3,,,5,1,5,8,15,10,44,5,6,6,13,23,25
1812, Sat,4,May,2013,11,12,22,27,40,44,37,,11,1,10,5,13,4,,4,0,7,4,-14,1,,,3,6,2,7,15,15,48,3,9,8,9,22,30
1811, Wed,1,May,2013,7,8,11,12,39,42,2,,7,1,3,1,27,3,,6,-11,-9,-13,25,0,,,3,2,4,9,11,16,45,3,5,6,13,20,27
1810, Sat,27,Apr,2013,1,13,25,39,41,44,26,,1,12,12,14,2,3,,-8,10,7,13,1,-17,,,4,6,2,9,16,16,53,4,10,8,11,25,32
1809, Wed,24,Apr,2013,9,11,16,17,18,38,47,,9,2,5,1,1,20,,1,-24,1,-3,-1,18,,,4,2,6,8,12,10,42,4,6,8,14,20,22
1808, Sat,20,Apr,2013,8,34,38,42,44,46,14,,8,26,4,4,2,2,,-4,24,2,2,0,-11,,,3,2,3,7,9,15,39,3,5,5,10,16,24
1807, Wed,17,Apr,2013,12,14,16,18,20,33,35,,12,2,2,2,2,13,,9,-8,-8,-2,-12,5,,,3,6,2,7,16,16,50,3,9,8,9,23,32
1806, Sat,13,Apr,2013,3,13,23,27,41,49,6,,3,10,10,4,14,8,,0,-3,-1,-2,11,2,,,5,4,5,8,10,16,48,5,9,9,13,18,26
1805, Wed,10,Apr,2013,3,16,27,33,36,42,12,,3,13,11,6,3,6,,-8,3,10,-13,-3,5,,,5,4,3,8,13,9,42,5,9,7,11,21,22
1804, Sat,6,Apr,2013,11,21,22,41,47,48,36,,11,10,1,19,6,1,,6,4,-9,8,-4,-5,,,3,4,2,9,15,10,43,3,7,6,11,24,25
1803, Wed,3,Apr,2013,5,11,21,32,42,48,28,,5,6,10,11,10,6,,-3,-1,1,-5,7,4,,,4,6,2,7,11,10,40,4,10,8,9,18,21
1802, Sat,30,Mar,2013,8,15,24,40,43,45,33,,8,7,9,16,3,2,,0,5,-3,14,-10,-5,,,1,4,8,9,8,12,42,1,5,12,17,17,20
1801, Wed,27,Mar,2013,8,10,22,24,37,44,2,,8,2,12,2,13,7,,5,-9,10,-1,-5,0,,,5,4,3,9,10,15,46,5,9,7,12,19,25
1800, Sat,23,Mar,2013,3,14,16,19,37,44,31,,3,11,2,3,18,7,,-1,4,-1,-10,2,4,,,5,4,6,7,8,16,46,5,9,10,13,15,24
1799, Wed,20,Mar,2013,4,11,14,27,43,46,42,,4,7,3,13,16,3,,3,-3,2,-2,-5,2,,,5,1,6,8,16,9,45,5,6,7,14,24,25
1798, Sat,16,Mar,2013,1,11,12,27,48,49,19,,1,10,1,15,21,1,,-5,8,-12,13,3,-4,,,2,6,7,8,13,9,45,2,8,13,15,21,22
1797, Wed,13,Mar,2013,6,8,21,23,41,46,5,,6,2,13,2,18,5,,-6,-5,7,-9,10,3,,,5,6,3,9,15,14,52,5,11,9,12,24,29
1796, Sat,9,Mar,2013,12,19,25,36,44,46,18,,12,7,6,11,8,2,,9,1,1,-13,4,-3,,,3,7,4,9,13,8,44,3,10,11,13,22,21
1795, Wed,6,Mar,2013,3,9,14,38,42,47,19,,3,6,5,24,4,5,,-3,3,-9,16,0,-8,,,5,2,1,7,12,9,36,5,7,3,8,19,21
1794, Sat,2,Mar,2013,6,9,23,31,35,48,11,,6,3,14,8,4,13,,4,-9,8,5,3,7,,,5,6,4,8,14,8,45,5,11,10,12,22,22
1793, Wed,27,Feb,2013,2,14,20,23,24,30,22,,2,12,6,3,1,6,,0,-2,-3,-2,0,5,,,2,8,6,7,16,16,55,2,10,14,13,23,32
1792, Sat,23,Feb,2013,2,16,25,30,31,32,36,,2,14,9,5,1,1,,-1,11,-21,-3,0,-2,,,5,4,8,9,13,14,53,5,9,12,17,22,27
1791, Wed,20,Feb,2013,3,6,36,44,45,48,47,,3,3,30,8,1,3,,-4,-10,23,-4,-6,1,,,4,4,7,7,12,10,44,4,8,11,14,19,22
1790, Sat,16,Feb,2013,7,20,27,39,46,48,49,,7,13,7,12,7,2,,1,5,1,9,1,-18,,,3,1,2,8,16,10,40,3,4,3,10,24,26
1789, Wed,13,Feb,2013,6,14,20,23,29,49,48,,6,8,6,3,6,20,,-2,6,-11,-4,0,19,,,4,1,6,9,15,15,50,4,5,7,15,24,30
1788, Sat,9,Feb,2013,8,10,27,34,40,41,48,,8,2,17,7,6,1,,-1,1,11,5,-3,-14,,,5,1,1,9,11,10,37,5,6,2,10,20,21
1787, Wed,6,Feb,2013,9,10,16,18,27,42,43,,9,1,6,2,9,15,,7,-9,5,1,2,6,,,1,8,5,8,11,11,44,1,9,13,13,19,22
1786, Sat,2,Feb,2013,2,12,13,14,21,30,39,,2,10,1,1,7,9,,-7,9,-13,-18,3,8,,,5,7,7,9,13,11,52,5,12,14,16,22,24
1785, Wed,30,Jan,2013,9,10,24,43,47,48,5,,9,1,14,19,4,1,,7,-3,-1,11,-1,-12,,,5,5,8,8,10,10,46,5,10,13,16,18,20
1784, Sat,26,Jan,2013,2,6,21,29,34,47,11,,2,4,15,8,5,13,,-4,0,11,-2,-3,4,,,1,3,4,7,15,9,39,1,4,7,11,22,24
1783, Wed,23,Jan,2013,6,10,14,24,32,41,29,,6,4,4,10,8,9,,1,0,0,7,-11,5,,,3,3,5,8,8,13,40,3,6,8,13,16,21
1782, Sat,19,Jan,2013,5,9,13,16,35,39,11,,5,4,4,3,19,4,,0,-3,3,-19,16,-5,,,5,4,7,7,14,13,50,5,9,11,14,21,27
1781, Wed,16,Jan,2013,5,12,13,35,38,47,45,,5,7,1,22,3,9,,2,3,-3,21,-9,6,,,5,2,2,8,13,10,40,5,7,4,10,21,23
1780, Sat,12,Jan,2013,3,7,11,12,24,27,13,,3,4,4,1,12,3,,-2,-12,1,0,-2,-6,,,4,5,3,7,16,14,49,4,9,8,10,23,30
1779, Wed,9,Jan,2013,5,21,24,25,39,48,32,,5,16,3,1,14,9,,-5,11,1,-3,-2,-1,,,4,6,2,7,9,14,42,4,10,8,9,16,23
1778, Sat,5,Jan,2013,10,15,17,21,37,47,2,,10,5,2,4,16,10,,3,3,-9,3,7,3,,,4,4,6,7,15,9,45,4,8,10,13,22,24
1777, Wed,2,Jan,2013,7,9,20,21,30,37,42,,7,2,11,1,9,7,,1,0,-12,-5,6,-1,,,1,8,2,7,8,14,40,1,9,10,9,15,22
1776, Sat,29,Dec,2012,6,8,31,37,40,48,36,,6,2,23,6,3,8,,3,-6,17,-16,-5,6,,,4,1,5,8,15,14,47,4,5,6,13,23,29
1775, Wed,26,Dec,2012,3,11,17,39,47,49,34,,3,8,6,22,8,2,,-1,-2,-8,16,-1,1,,,2,8,8,8,14,10,50,2,10,16,16,22,24
1774, Sat,22,Dec,2012,4,14,28,34,43,44,13,,4,10,14,6,9,1,,0,-12,7,-2,2,0,,,3,4,1,8,12,12,40,3,7,5,9,20,24
1773, Wed,19,Dec,2012,4,26,33,41,48,49,19,,4,22,7,8,7,1,,-2,9,4,7,2,0,,,2,6,5,9,13,10,45,2,8,11,14,22,23
1772, Sat,15,Dec,2012,6,19,22,23,28,29,18,,6,13,3,1,5,1,,-3,7,0,-14,0,-5,,,5,7,3,9,15,14,53,5,12,10,12,24,29
1771, Wed,12,Dec,2012,9,15,18,33,38,44,16,,9,6,3,15,5,6,,-20,2,1,14,-4,3,,,2,3,4,8,14,16,47,2,5,7,12,22,30
1770, Sat,8,Dec,2012,29,33,35,36,45,48,27,,29,4,2,1,9,3,,26,3,-8,-16,-8,2,,,3,5,3,8,11,15,45,3,8,8,11,19,26
1769, Wed,5,Dec,2012,3,4,14,31,48,49,45,,3,1,10,17,17,1,,-2,-21,6,16,11,-10,,,1,8,1,9,14,11,44,1,9,9,10,23,25
1768, Sat,1,Dec,2012,5,27,31,32,38,49,1,,5,22,4,1,6,11,,-9,8,-5,0,-1,8,,,1,6,1,7,12,10,37,1,7,7,8,19,22
1767, Wed,28,Nov,2012,14,28,37,38,45,48,18,,14,14,9,1,7,3,,12,12,-14,-6,2,-2,,,3,7,6,9,16,8,49,3,10,13,15,25,24
1766, Sat,24,Nov,2012,2,4,27,34,39,44,37,,2,2,23,7,5,5,,-2,-6,16,4,-9,1,,,1,5,6,7,16,12,47,1,6,11,13,23,28
1765, Wed,21,Nov,2012,4,12,19,22,36,40,44,,4,8,7,3,14,4,,-13,6,6,2,10,3,,,4,1,1,9,11,12,38,4,5,2,10,20,23
1764, Sat,17,Nov,2012,17,19,20,21,25,26,14,,17,2,1,1,4,1,,3,1,-1,-11,3,-2,,,1,4,6,7,13,8,39,1,5,10,13,20,21
1763, Wed,14,Nov,2012,14,15,17,29,30,33,37,,14,1,2,12,1,3,,4,-12,1,11,-4,-4,,,1,8,3,8,15,13,48,1,9,11,11,23,28
1762, Sat,10,Nov,2012,10,23,24,25,30,37,45,,10,13,1,1,5,7,,-4,8,-15,0,1,2,,,2,1,8,7,15,16,49,2,3,9,15,22,31
1761, Wed,7,Nov,2012,14,19,35,36,40,45,48,,14,5,16,1,4,5,,9,3,14,-7,1,-20,,,5,3,4,8,14,11,45,5,8,7,12,22,25
1760, Sat,3,Nov,2012,5,7,9,17,20,45,10,,5,2,2,8,3,25,,-2,-21,0,4,-1,24,,,2,6,3,9,10,8,38,2,8,9,12,19,18
1759, Wed,31,Oct,2012,7,30,32,36,40,41,45,,7,23,2,4,4,1,,0,16,-4,-6,1,-12,,,5,8,7,8,11,13,52,5,13,15,15,19,24
1758, Sat,27,Oct,2012,7,14,20,30,33,46,27,,7,7,6,10,3,13,,6,-2,-3,-7,-8,12,,,5,5,4,7,15,10,46,5,10,9,11,22,25
1757, Wed,24,Oct,2012,1,10,19,36,47,48,11,,1,9,9,17,11,1,,-8,8,-5,4,9,0,,,2,2,8,8,11,10,41,2,4,10,16,19,21
1756, Sat,20,Oct,2012,9,10,24,37,39,40,36,,9,1,14,13,2,1,,5,-2,2,11,-16,-9,,,5,6,8,7,8,11,45,5,11,14,15,15,19
1755, Wed,17,Oct,2012,4,7,19,21,39,49,26,,4,3,12,2,18,10,,-10,-9,8,0,14,-2,,,2,5,7,7,14,13,48,2,7,12,14,21,27
1754, Sat,13,Oct,2012,14,26,30,32,36,48,15,,14,12,4,2,4,12,,-1,8,0,-4,3,-4,,,4,1,3,7,8,9,32,4,5,4,10,15,17
1753, Wed,10,Oct,2012,15,19,23,29,30,46,2,,15,4,4,6,1,16,,14,-6,-1,4,-8,1,,,2,1,2,9,16,13,43,2,3,3,11,25,29
1752, Sat,6,Oct,2012,1,11,16,18,27,42,4,,1,10,5,2,9,15,,-2,4,3,-16,-7,14,,,2,8,6,9,15,16,56,2,10,14,15,24,31
1751, Wed,3,Oct,2012,3,9,11,29,45,46,19,,3,6,2,18,16,1,,2,1,1,17,-1,-16,,,2,3,5,8,14,15,47,2,5,8,13,22,29
1750, Sat,29,Sep,2012,1,6,7,8,25,42,39,,1,5,1,1,17,17,,-5,3,-2,-27,16,14,,,3,7,5,7,15,16,53,3,10,12,12,22,31
1749, Wed,26,Sep,2012,6,8,11,39,40,43,22,,6,2,3,28,1,3,,-4,-1,-13,26,-4,-6,,,1,6,3,8,9,15,42,1,7,9,11,17,24
1748, Sat,22,Sep,2012,10,13,29,31,36,45,44,,10,3,16,2,5,9,,5,-6,11,-2,-5,-6,,,4,5,4,7,14,10,44,4,9,9,11,21,24
1747, Wed,19,Sep,2012,5,14,19,23,33,48,40,,5,9,5,4,10,15,,-9,5,4,-12,1,14,,,2,6,6,9,11,13,47,2,8,12,15,20,24
1746, Sat,15,Sep,2012,14,18,19,35,44,45,33,,14,4,1,16,9,1,,0,2,-4,15,7,-16,,,5,7,2,7,10,13,44,5,12,9,9,17,23
1745, Wed,12,Sep,2012,14,16,21,22,24,41,32,,14,2,5,1,2,17,,6,-5,-1,-4,0,13,,,5,7,4,8,13,11,48,5,12,11,12,21,24
1744, Sat,8,Sep,2012,8,15,21,26,28,32,29,,8,7,6,5,2,4,,-9,2,2,4,-10,2,,,2,6,2,9,8,15,42,2,8,8,11,17,23
1743, Wed,5,Sep,2012,17,22,26,27,39,41,43,,17,5,4,1,12,2,,2,-10,-2,-2,10,-6,,,5,4,5,9,16,8,47,5,9,9,14,25,24
1742, Sat,1,Sep,2012,15,30,36,39,41,49,2,,15,15,6,3,2,8,,11,12,1,-13,-2,3,,,3,3,5,7,9,12,39,3,6,8,12,16,21
1741, Wed,29,Aug,2012,4,7,12,28,32,37,14,,4,3,5,16,4,5,,-8,-3,0,8,-9,1,,,3,4,6,9,15,10,47,3,7,10,15,24,25
1740, Sat,25,Aug,2012,12,18,23,31,44,48,40,,12,6,5,8,13,4,,9,-2,-7,3,11,-14,,,4,2,2,7,14,16,45,4,6,4,9,21,30
1739, Wed,22,Aug,2012,3,11,23,28,30,48,29,,3,8,12,5,2,18,,-18,2,1,1,0,16,,,2,1,5,9,13,9,39,2,3,6,14,22,22
1738, Sat,18,Aug,2012,21,27,38,42,44,46,41,,21,6,11,4,2,2,,11,2,-10,3,1,-7,,,2,4,1,7,15,9,38,2,6,5,8,22,24
1737, Wed,15,Aug,2012,10,14,35,36,37,46,43,,10,4,21,1,1,9,,9,0,12,-3,-15,-1,,,2,1,7,9,9,8,36,2,3,8,16,18,17
1736, Sat,11,Aug,2012,1,5,14,18,34,44,23,,1,4,9,4,16,10,,-5,-4,4,1,8,4,,,1,6,7,9,9,13,45,1,7,13,16,18,22
1735, Wed,8,Aug,2012,6,14,19,22,30,36,23,,6,8,5,3,8,6,,-2,6,0,-3,6,-16,,,4,4,8,9,15,13,53,4,8,12,17,24,28
1734, Sat,4,Aug,2012,8,10,15,21,23,45,43,,8,2,5,6,2,22,,-5,-5,1,3,-4,16,,,2,1,8,9,13,13,46,2,3,9,17,22,26
1733, Wed,1,Aug,2012,13,20,24,27,33,39,6,,13,7,4,3,6,6,,6,4,-8,-4,-8,5,,,5,7,6,9,13,14,54,5,12,13,15,22,27
1732, Sat,28,Jul,2012,7,10,22,29,43,44,26,,7,3,12,7,14,1,,-1,-3,11,0,-5,-6,,,3,7,3,8,12,13,46,3,10,10,11,20,25
1731, Wed,25,Jul,2012,8,14,15,22,41,48,43,,8,6,1,7,19,7,,3,-3,-5,-13,18,6,,,1,4,6,8,14,16,49,1,5,10,14,22,30
1730, Sat,21,Jul,2012,5,14,20,40,41,42,8,,5,9,6,20,1,1,,-6,-6,-2,16,-1,-5,,,1,4,4,8,12,8,37,1,5,8,12,20,20
1729, Wed,18,Jul,2012,11,26,34,38,40,46,7,,11,15,8,4,2,6,,-2,1,6,-9,1,3,,,3,2,7,9,13,15,49,3,5,9,16,22,28
1728, Sat,14,Jul,2012,13,27,29,42,43,46,28,,13,14,2,13,1,3,,1,7,-7,12,-8,-8,,,5,4,5,9,16,16,55,5,9,9,14,25,32
1727, Wed,11,Jul,2012,12,19,28,29,38,49,30,,12,7,9,1,9,11,,7,-10,8,-6,6,-1,,,1,1,4,7,12,10,35,1,2,5,11,19,22
1726, Sat,7,Jul,2012,5,22,23,30,33,45,6,,5,17,1,7,3,12,,2,11,-4,2,-12,8,,,3,3,1,7,15,9,38,3,6,4,8,22,24
1725, Wed,4,Jul,2012,3,9,14,19,34,38,36,,3,6,5,5,15,4,,2,-11,4,0,9,-4,,,3,5,5,9,10,8,40,3,8,10,14,19,18
1724, Sat,30,Jun,2012,1,18,19,24,30,38,41,,1,17,1,5,6,8,,-9,5,-6,-5,-1,7,,,3,6,1,7,16,9,42,3,9,7,8,23,25
1723, Wed,27,Jun,2012,10,22,29,39,46,47,9,,10,12,7,10,7,1,,7,-10,4,8,-2,-5,,,2,1,2,7,8,12,32,2,3,3,9,15,20
1722, Sat,23,Jun,2012,3,25,28,30,39,45,5,,3,22,3,2,9,6,,-3,18,1,-16,3,-7,,,4,2,2,8,10,10,36,4,6,4,10,18,20
1721, Wed,20,Jun,2012,6,10,12,30,36,49,4,,6,4,2,18,6,13,,3,-12,0,2,3,4,,,3,1,1,7,16,9,37,3,4,2,8,23,25
1720, Sat,16,Jun,2012,3,19,21,37,40,49,35,,3,16,2,16,3,9,,-9,3,-2,11,-8,7,,,1,2,8,8,15,10,44,1,3,10,16,23,25
1719, Wed,13,Jun,2012,12,25,29,34,45,47,16,,12,13,4,5,11,2,,7,4,-6,3,0,-5,,,3,5,7,9,8,15,47,3,8,12,16,17,23
1718, Sat,9,Jun,2012,5,14,24,26,37,44,30,,5,9,10,2,11,7,,-4,1,7,-5,1,3,,,2,3,3,8,9,9,34,2,5,6,11,17,18
1717, Wed,6,Jun,2012,9,17,20,27,37,41,3,,9,8,3,7,10,4,,-7,6,1,2,6,-1,,,1,1,8,7,10,10,37,1,2,9,15,17,20
1716, Sat,2,Jun,2012,16,18,20,25,29,34,15,,16,2,2,5,4,5,,9,-5,-9,-3,-8,2,,,3,8,5,7,13,11,47,3,11,13,12,20,24
1715, Wed,30,May,2012,7,14,25,33,45,48,11,,7,7,11,8,12,3,,5,3,10,0,2,-16,,,4,2,8,7,10,9,40,4,6,10,15,17,19
1714, Sat,26,May,2012,2,6,7,15,25,44,45,,2,4,1,8,10,19,,-1,3,-13,2,-10,14,,,3,6,2,9,15,13,48,3,9,8,11,24,28
1713, Wed,23,May,2012,3,4,18,24,44,49,17,,3,1,14,6,20,5,,2,-17,-6,5,18,1,,,4,5,6,8,9,12,44,4,9,11,14,17,21
1712, Sat,19,May,2012,1,19,39,40,42,46,22,,1,18,20,1,2,4,,-4,17,5,-19,-5,3,,,4,8,2,9,16,11,50,4,12,10,11,25,27
1711, Wed,16,May,2012,5,6,21,41,48,49,37,,5,1,15,20,7,1,,4,-3,2,17,5,-9,,,4,7,1,9,16,16,53,4,11,8,10,25,32
1710, Sat,12,May,2012,1,5,18,21,23,33,20,,1,4,13,3,2,10,,-1,-1,12,1,-10,9,,,4,5,7,7,13,11,47,4,9,12,14,20,24
1709, Wed,9,May,2012,2,7,8,10,22,23,46,,2,5,1,2,12,1,,-2,-4,-3,-7,11,-12,,,2,4,2,7,9,9,33,2,6,6,9,16,18
1708, Sat,5,May,2012,4,13,17,26,27,40,36,,4,9,4,9,1,13,,-14,5,1,-1,-3,11,,,2,5,6,8,11,8,40,2,7,11,14,19,19
1707, Wed,2,May,2012,18,22,25,35,39,41,31,,18,4,3,10,4,2,,17,2,-3,-4,-10,-7,,,2,4,5,7,13,8,39,2,6,9,12,20,21
1706, Sat,28,Apr,2012,1,3,9,23,37,46,6,,1,2,6,14,14,9,,-7,-3,1,11,-5,5,,,1,2,6,9,14,15,47,1,3,8,15,23,29
1705, Wed,25,Apr,2012,8,13,18,21,40,44,42,,8,5,5,3,19,4,,-2,-8,3,-6,12,-2,,,4,3,1,9,8,16,41,4,7,4,10,17,24
1704, Sat,21,Apr,2012,10,23,25,34,41,47,30,,10,13,2,9,7,6,,3,12,-6,3,5,2,,,4,6,4,8,9,15,46,4,10,10,12,17,24
1703, Wed,18,Apr,2012,7,8,16,22,24,28,48,,7,1,8,6,2,4,,6,-3,-2,-1,-2,-12,,,4,4,7,7,9,11,42,4,8,11,14,16,20
1702, Sat,14,Apr,2012,1,5,15,22,26,42,40,,1,4,10,7,4,16,,-19,-3,4,-1,1,14,,,5,8,3,9,16,14,55,5,13,11,12,25,30
1701, Wed,11,Apr,2012,20,27,33,41,44,46,12,,20,7,6,8,3,2,,8,3,-1,6,-3,-9,,,4,1,4,8,8,16,41,4,5,5,12,16,24
1700, Sat,7,Apr,2012,12,16,23,25,31,42,18,,12,4,7,2,6,11,,3,-10,4,-5,-1,7,,,1,4,5,7,12,11,40,1,5,9,12,19,23
1699, Wed,4,Apr,2012,9,23,26,33,40,44,31,,9,14,3,7,7,4,,7,11,-10,-15,0,2,,,5,4,5,7,11,16,48,5,9,9,12,18,27
1698, Sat,31,Mar,2012,2,5,18,40,47,49,19,,2,3,13,22,7,2,,-1,-2,5,16,-9,1,,,1,5,7,8,14,9,44,1,6,12,15,22,23
1697, Wed,28,Mar,2012,3,8,16,22,38,39,26,,3,5,8,6,16,1,,-3,-13,5,2,8,-5,,,2,2,6,9,14,11,44,2,4,8,15,23,25
1696, Sat,24,Mar,2012,6,24,27,31,39,45,32,,6,18,3,4,8,6,,-4,14,-4,0,-6,0,,,3,3,6,9,16,9,46,3,6,9,15,25,25
1695, Wed,21,Mar,2012,10,14,21,25,39,45,40,,10,4,7,4,14,6,,9,2,-6,0,-3,3,,,4,5,1,9,9,10,38,4,9,6,10,18,19
1694, Sat,17,Mar,2012,1,3,16,20,37,40,15,,1,2,13,4,17,3,,-13,1,10,-4,12,-2,,,5,6,1,7,11,16,46,5,11,7,8,18,27
1693, Wed,14,Mar,2012,14,15,18,26,31,36,48,,14,1,3,8,5,5,,13,-1,-6,-3,-9,-1,,,5,7,8,8,10,10,48,5,12,15,16,18,20
1692, Sat,10,Mar,2012,1,3,12,23,37,43,33,,1,2,9,11,14,6,,-1,-4,6,-6,7,-3,,,5,6,5,9,11,10,46,5,11,11,14,20,21
